"BehaviorSpace results (NetLogo 6.1.0)"
"predator-prey-model-revised-17_03_2020-for_cheetah_vs_impala.nlogo"
"cheetah vs impala - open savanna"
"05/28/2020 09:09:57:529 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-200","200","-200","200"
"[run number]","prey-max-velocity","prey-agility","prey-acceleration","prey-deceleration","prey-vision-distance","prey-vision-angle","freeze-distance","flight-initiation-distance","prey-exhaustion-distance","time-to-turn","time-spent-circling","predator-max-velocity","predator-agility","predator-acceleration","predator-deceleration","predator-vision-distance","predator-vision-angle","predator-exhaustion-distance","kill-distance","obstacle-proportion","obstacle-radius","prey-obstacle-sensitivity","predator-obstacle-sensitivity","number-of-refuges","number-of-target-patches","[step]","number-obstacles","count patches with [ pcolor = brown ] / count patches","prey-win","predator-win","detect-time","pursuit-time","sim-time","prey-escape-length","predator-pursuit-length","prey-curviness","predator-curviness","[ behaviour ] of one-of prey","[ behaviour ] of one-of predators","prey-detected"
"44","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","4603","61","0.010006156678130112","0","1","106.10000000000001","124.2","230.10000000000002","228.64148668045675","125.21081720599585","0.18833722015631352","0.3991002461299445","escape","pursue","1"
"34","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","14257","56","0.010006156678130112","0","1","379","184.25","712.8000000000001","800.3824632230428","52.66758965836897","0.051445868885258345","0.22118532367659943","exhausted","pursue","1"
"49","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","7310","60","0.010006156678130112","1","0","26.200000000000003","339.3","365.45000000000005","747.465901437186","299.9702376785974","0.13039556272080471","0.36230074515129196","escape","pursue","1"
"37","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","18000","56","0.010006156678130112","1","0","779.8000000000001","120.2","899.95","291.567344482849","14.151425006912953","0.11019750772537644","0.48884721705958095","escape","search","1"
"51","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","1877","58","0.010006156678130112","0","1","10.05","83.80000000000001","93.80000000000001","194.43449879271637","90.53114658824914","0.16047264150120888","0.37399700747204667","escape","pursue","1"
"52","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","40","59","0.010006156678130112","0","1","0.05","1.9500000000000002","1.9500000000000002","12.737684460937503","8.436272851977694","0.22053875680844476","0.014019057079121468","escape","pursue","1"
"54","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","1688","59","0.010006156678130112","0","1","0.05","84.35000000000001","84.35000000000001","262.1435707587379","73.20916551522289","0.10110595330420495","0.3624063114489162","escape","pursue","1"
"53","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","2733","60","0.010006156678130112","0","1","121.25","15.4","136.6","35.74458077976876","21.14032505992404","0.12139185341675124","0.3008923234205025","escape","pursue","1"
"45","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","18000","54","0.010006156678130112","1","0","677.1500000000001","222.85000000000002","899.95","673.1110992909918","77.49250491667785","0.0816269085350414","0.4527947757653646","escape","pursue","1"
"43","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","18000","59","0.010006156678130112","1","0","0","0","899.95","0","0","0","0","forage","search","0"
"46","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","18000","59","0.010006156678130112","1","0","0","0","899.95","0","0","0","0","forage","search","0"
